id,X,Y
stadium,447,658
rr_bcit,392,518
bcit_ellies,366,446
bcit_cr,317,361
eals_ellies,392,468
eals_bcit,341,311
eals_bcit_dup,341,311
bcit_cr_dup,317,301
cr_blake,291,305
blake_hway,194,46
cr_nglide,253,304
hway_nglide,114,157
cr_ccrawl,186,271
cr_hhill,100,172
hhill_logr,66,186
oleshut,210,394
ml_gg,304,676
ml_mc,333,623
ml_conn,332,593
ml_hr,275,607
hr_conn,307,588
ml_ld,414,695
ld_dup,399,681
ld,416,680
gg_sl,394,744
sl_mick,437,745
gg_mick,422,735
mick_dyn,488,780
dyn_low_mick,569,780
mick_ev,514,816
ev_dup,447,789
ev,495,792
t_low_mick,467,717
t_mick,412,717
